gesture,timestamp,sensor,x,y,z
stir,1749662201.648149,/gyroscope,-0.13736821711063385,-0.5960513353347778,-0.04512763395905495
stir,1749662201.64863,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.649086,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.6495512,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.649775,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.649981,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.650174,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.650368,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.650555,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.650728,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.650956,/accelerometer,3.056830883026123,6.961917400360107,6.27278470993042
stir,1749662201.717164,/gyroscope,-0.8682679533958435,-2.2240822315216064,0.11476621776819229
stir,1749662201.717613,/accelerometer,3.7471601963043213,6.410371780395508,7.1234331130981445
stir,1749662201.717958,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.718303,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.755113,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.755528,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.755934,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.7562351,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.756542,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.756809,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662201.757151,/accelerometer,3.207578659057617,5.862415313720703,3.9601213932037354
stir,1749662202.09582,/gyroscope,2.0581562519073486,5.8422346115112305,-0.3877464234828949
stir,1749662202.0963242,/accelerometer,-2.6608188152313232,7.829315662384033,5.4759745597839355
stir,1749662202.096709,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.0970309,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.09731,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.097636,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.098002,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.0983539,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.0985548,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.09877,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.099,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.0992372,/accelerometer,-0.2476571500301361,8.325826644897461,5.547759532928467
stir,1749662202.119898,/gyroscope,0.3958403766155243,-0.7914516925811768,-0.07399099320173264
stir,1749662202.1204998,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.1208692,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.121205,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.123457,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.123793,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.124091,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.1243892,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.124714,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.1250508,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.1254559,/accelerometer,0.5180460810661316,7.95134973526001,1.801795482635498
stir,1749662202.313063,/gyroscope,-0.1792888194322586,1.1186461448669434,0.7412844300270081
stir,1749662202.316176,/accelerometer,-9.768698692321777,14.510076522827148,12.673584938049316
stir,1749662202.316523,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.318937,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.319198,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.3194702,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.3197172,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.320009,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.320246,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.320427,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.320607,/accelerometer,1.8915263414382935,6.725028038024902,-1.2969099283218384
stir,1749662202.5095942,/gyroscope,-1.0655772686004639,-2.1838417053222656,1.6294054985046387
stir,1749662202.5215528,/accelerometer,-6.20219612121582,9.516255378723145,3.236292600631714
stir,1749662202.522109,/accelerometer,1.7623138427734375,4.183850288391113,-1.7180466651916504
stir,1749662202.5226848,/accelerometer,1.7623138427734375,4.183850288391113,-1.7180466651916504
stir,1749662202.5231402,/accelerometer,1.7623138427734375,4.183850288391113,-1.7180466651916504
stir,1749662202.5236092,/accelerometer,1.7623138427734375,4.183850288391113,-1.7180466651916504
